441695;Busarellus nigricollis;Busarellus nigricollis (Latham, 1790);Buse à tête blanche ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441702;Buteogallus aequinoctialis;Buteogallus aequinoctialis (Gmelin, 1788);Buse buson ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441703;Buteogallus anthracinus;Buteogallus anthracinus Deppe, 1830;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441704;Buteogallus meridionalis;Buteogallus meridionalis (Latham, 1790);Buse roussâtre ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782573;Asturina schistacea;Asturina schistacea Sundevall, 1850;Buse ardoisée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
720201;Buteogallus schistaceus;Buteogallus schistaceus (Sundevall, 1850);Buse ardoisée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442036;Leucopternis schistacea;Leucopternis schistacea (Sundevall, 1850);Buse ardoisée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
459495;Leucopternis schistaceus;Leucopternis schistaceus (Sundevall, 1850);Buse ardoisée;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441705;Buteogallus urubitinga;Buteogallus urubitinga (Gmelin, 1788);Buse urubu ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441697;Buteo albonotatus;Buteo albonotatus Kaup, 1847;Buse à queue barrée ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441698;Buteo brachyurus;Buteo brachyurus Vieillot, 1816;Buse à queue courte ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2623;Buteo buteo;Buteo buteo (Linnaeus, 1758);Buse variable;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2625;Falco buteo;Falco buteo Linnaeus, 1758;Buse variable;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
458792;Falco vulgaris;Falco vulgaris ;Buse variable;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
779863;Buteo buteo vulpinus;Buteo buteo vulpinus Gloger, 1833;;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441699;Buteo jamaicensis;Buteo jamaicensis (Gmelin, 1788);Buse à queue rousse;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
